Created as New Dataset;Sample 1471 By Administrator Date tirsdag, november 28 2017
cm-1;%T
3248,00;80,67
3247,00;80,79
3246,00;80,91
3245,00;81,03
3244,00;81,17
3243,00;81,30
3242,00;81,44
3241,00;81,58
3240,00;81,72
3239,00;81,87
3238,00;82,02
3237,00;82,18
3236,00;82,34
3235,00;82,50
3234,00;82,66
3233,00;82,82
3232,00;82,98
3231,00;83,14
3230,00;83,28
3229,00;83,42
3228,00;83,54
3227,00;83,65
3226,00;83,74
3225,00;83,82
3224,00;83,87
3223,00;83,90
3222,00;83,92
3221,00;83,92
3220,00;83,90
3219,00;83,87
3218,00;83,81
3217,00;83,74
3216,00;83,64
3215,00;83,52
3214,00;83,40
3213,00;83,27
3212,00;83,14
3211,00;83,02
3210,00;82,92
3209,00;82,82
3208,00;82,75
3207,00;82,71
3206,00;82,70
3205,00;82,73
3204,00;82,78
3203,00;82,87
3202,00;82,99
3201,00;83,13
3200,00;83,30
3199,00;83,49
3198,00;83,70
3197,00;83,92
3196,00;84,15
3195,00;84,38
3194,00;84,61
3193,00;84,83
3192,00;85,05
3191,00;85,25
3190,00;85,45
3189,00;85,63
3188,00;85,80
3187,00;85,95
3186,00;86,09
3185,00;86,21
3184,00;86,32
3183,00;86,41
3182,00;86,49
3181,00;86,56
3180,00;86,62
3179,00;86,68
3178,00;86,74
3177,00;86,78
3176,00;86,81
3175,00;86,84
3174,00;86,86
3173,00;86,88
3172,00;86,90
3171,00;86,91
3170,00;86,92
3169,00;86,92
3168,00;86,93
3167,00;86,94
3166,00;86,95
3165,00;86,97
3164,00;87,01
3163,00;87,05
3162,00;87,11
3161,00;87,19
3160,00;87,29
3159,00;87,42
3158,00;87,55
3157,00;87,70
3156,00;87,86
3155,00;88,02
3154,00;88,18
3153,00;88,34
3152,00;88,49
3151,00;88,65
3150,00;88,80
3149,00;88,94
3148,00;89,07
3147,00;89,19
3146,00;89,31
3145,00;89,41
3144,00;89,50
3143,00;89,59
3142,00;89,67
3141,00;89,74
3140,00;89,81
3139,00;89,87
3138,00;89,93
3137,00;89,99
3136,00;90,04
3135,00;90,08
3134,00;90,12
3133,00;90,16
3132,00;90,19
3131,00;90,21
3130,00;90,22
3129,00;90,23
3128,00;90,21
3127,00;90,19
3126,00;90,15
3125,00;90,09
3124,00;90,01
3123,00;89,92
3122,00;89,80
3121,00;89,65
3120,00;89,48
3119,00;89,29
3118,00;89,07
3117,00;88,83
3116,00;88,59
3115,00;88,34
3114,00;88,11
3113,00;87,91
3112,00;87,76
3111,00;87,68
3110,00;87,68
3109,00;87,78
3108,00;87,96
3107,00;88,23
3106,00;88,56
3105,00;88,91
3104,00;89,26
3103,00;89,59
3102,00;89,89
3101,00;90,15
3100,00;90,39
3099,00;90,60
3098,00;90,78
3097,00;90,94
3096,00;91,08
3095,00;91,21
3094,00;91,32
3093,00;91,42
3092,00;91,50
3091,00;91,58
3090,00;91,64
3089,00;91,71
3088,00;91,77
3087,00;91,82
3086,00;91,87
3085,00;91,91
3084,00;91,93
3083,00;91,95
3082,00;91,95
3081,00;91,96
3080,00;91,97
3079,00;91,99
3078,00;92,03
3077,00;92,08
3076,00;92,14
3075,00;92,21
3074,00;92,27
3073,00;92,33
3072,00;92,38
3071,00;92,42
3070,00;92,45
3069,00;92,49
3068,00;92,52
3067,00;92,56
3066,00;92,60
3065,00;92,65
3064,00;92,70
3063,00;92,74
3062,00;92,78
3061,00;92,81
3060,00;92,84
3059,00;92,86
3058,00;92,87
3057,00;92,89
3056,00;92,90
3055,00;92,91
3054,00;92,92
3053,00;92,93
3052,00;92,93
3051,00;92,94
3050,00;92,94
3049,00;92,94
3048,00;92,95
3047,00;92,95
3046,00;92,94
3045,00;92,92
3044,00;92,89
3043,00;92,86
3042,00;92,83
3041,00;92,83
3040,00;92,84
3039,00;92,87
3038,00;92,92
3037,00;92,98
3036,00;93,04
3035,00;93,10
3034,00;93,15
3033,00;93,20
3032,00;93,24
3031,00;93,28
3030,00;93,31
3029,00;93,33
3028,00;93,35
3027,00;93,37
3026,00;93,38
3025,00;93,39
3024,00;93,39
3023,00;93,39
3022,00;93,39
3021,00;93,40
3020,00;93,40
3019,00;93,42
3018,00;93,43
3017,00;93,44
3016,00;93,45
3015,00;93,46
3014,00;93,47
3013,00;93,47
3012,00;93,47
3011,00;93,45
3010,00;93,43
3009,00;93,40
3008,00;93,37
3007,00;93,34
3006,00;93,32
3005,00;93,30
3004,00;93,29
3003,00;93,28
3002,00;93,28
3001,00;93,28
3000,00;93,29
2999,00;93,29
2998,00;93,30
2997,00;93,30
2996,00;93,30
2995,00;93,30
2994,00;93,31
2993,00;93,31
2992,00;93,31
2991,00;93,30
2990,00;93,30
2989,00;93,30
2988,00;93,30
2987,00;93,31
2986,00;93,32
2985,00;93,35
2984,00;93,37
2983,00;93,41
2982,00;93,44
2981,00;93,47
2980,00;93,50
2979,00;93,53
2978,00;93,57
2977,00;93,60
2976,00;93,64
2975,00;93,68
2974,00;93,71
2973,00;93,75
2972,00;93,79
2971,00;93,84
2970,00;93,88
2969,00;93,93
2968,00;93,97
2967,00;94,02
2966,00;94,05
2965,00;94,08
2964,00;94,11
2963,00;94,13
2962,00;94,15
2961,00;94,16
2960,00;94,16
2959,00;94,17
2958,00;94,17
2957,00;94,17
2956,00;94,16
2955,00;94,16
2954,00;94,16
2953,00;94,17
2952,00;94,19
2951,00;94,21
2950,00;94,24
2949,00;94,27
2948,00;94,30
2947,00;94,33
2946,00;94,37
2945,00;94,40
2944,00;94,42
2943,00;94,45
2942,00;94,48
2941,00;94,51
2940,00;94,55
2939,00;94,58
2938,00;94,61
2937,00;94,64
2936,00;94,67
2935,00;94,70
2934,00;94,73
2933,00;94,76
2932,00;94,79
2931,00;94,82
2930,00;94,85
2929,00;94,87
2928,00;94,90
2927,00;94,93
2926,00;94,95
2925,00;94,98
2924,00;95,01
2923,00;95,03
2922,00;95,05
2921,00;95,06
2920,00;95,07
2919,00;95,06
2918,00;95,05
2917,00;95,03
2916,00;95,01
2915,00;94,99
2914,00;94,98
2913,00;94,97
2912,00;94,96
2911,00;94,95
2910,00;94,94
2909,00;94,93
2908,00;94,92
2907,00;94,92
2906,00;94,91
2905,00;94,91
2904,00;94,92
2903,00;94,92
2902,00;94,93
2901,00;94,93
2900,00;94,94
2899,00;94,94
2898,00;94,95
2897,00;94,96
2896,00;94,96
2895,00;94,97
2894,00;94,97
2893,00;94,98
2892,00;94,98
2891,00;94,99
2890,00;95,00
2889,00;95,01
2888,00;95,02
2887,00;95,02
2886,00;95,02
2885,00;95,03
2884,00;95,04
2883,00;95,04
2882,00;95,04
2881,00;95,05
2880,00;95,05
2879,00;95,06
2878,00;95,06
2877,00;95,07
2876,00;95,08
2875,00;95,09
2874,00;95,10
2873,00;95,11
2872,00;95,12
2871,00;95,13
2870,00;95,13
2869,00;95,14
2868,00;95,14
2867,00;95,15
2866,00;95,16
2865,00;95,18
2864,00;95,20
2863,00;95,22
2862,00;95,25
2861,00;95,27
2860,00;95,30
2859,00;95,33
2858,00;95,36
2857,00;95,38
2856,00;95,41
2855,00;95,43
2854,00;95,45
2853,00;95,45
2852,00;95,46
2851,00;95,46
2850,00;95,45
2849,00;95,44
2848,00;95,42
2847,00;95,40
2846,00;95,38
2845,00;95,37
2844,00;95,35
2843,00;95,34
2842,00;95,33
2841,00;95,31
2840,00;95,30
2839,00;95,30
2838,00;95,29
2837,00;95,29
2836,00;95,29
2835,00;95,28
2834,00;95,28
2833,00;95,28
2832,00;95,28
2831,00;95,28
2830,00;95,28
2829,00;95,28
2828,00;95,28
2827,00;95,28
2826,00;95,28
2825,00;95,28
2824,00;95,29
2823,00;95,30
2822,00;95,31
2821,00;95,33
2820,00;95,34
2819,00;95,35
2818,00;95,36
2817,00;95,37
2816,00;95,37
2815,00;95,38
2814,00;95,38
2813,00;95,38
2812,00;95,38
2811,00;95,38
2810,00;95,38
2809,00;95,38
2808,00;95,37
2807,00;95,37
2806,00;95,36
2805,00;95,35
2804,00;95,35
2803,00;95,34
2802,00;95,35
2801,00;95,35
2800,00;95,35
2799,00;95,36
2798,00;95,37
2797,00;95,38
2796,00;95,39
2795,00;95,40
2794,00;95,40
2793,00;95,41
2792,00;95,41
2791,00;95,40
2790,00;95,39
2789,00;95,38
2788,00;95,37
2787,00;95,36
2786,00;95,36
2785,00;95,36
2784,00;95,37
2783,00;95,37
2782,00;95,38
2781,00;95,38
2780,00;95,38
2779,00;95,39
2778,00;95,39
2777,00;95,39
2776,00;95,40
2775,00;95,40
2774,00;95,41
2773,00;95,41
2772,00;95,41
2771,00;95,41
2770,00;95,41
2769,00;95,41
2768,00;95,41
2767,00;95,42
2766,00;95,42
2765,00;95,42
2764,00;95,43
2763,00;95,43
2762,00;95,42
2761,00;95,42
2760,00;95,42
2759,00;95,42
2758,00;95,43
2757,00;95,43
2756,00;95,44
2755,00;95,44
2754,00;95,45
2753,00;95,45
2752,00;95,46
2751,00;95,46
2750,00;95,47
2749,00;95,48
2748,00;95,48
2747,00;95,49
2746,00;95,50
2745,00;95,50
2744,00;95,51
2743,00;95,51
2742,00;95,52
2741,00;95,52
2740,00;95,52
2739,00;95,52
2738,00;95,52
2737,00;95,52
2736,00;95,53
2735,00;95,53
2734,00;95,53
2733,00;95,54
2732,00;95,54
2731,00;95,55
2730,00;95,56
2729,00;95,57
2728,00;95,58
2727,00;95,58
2726,00;95,59
2725,00;95,60
2724,00;95,61
2723,00;95,62
2722,00;95,62
2721,00;95,63
2720,00;95,63
2719,00;95,64
2718,00;95,65
2717,00;95,65
2716,00;95,66
2715,00;95,67
2714,00;95,67
2713,00;95,68
2712,00;95,68
2711,00;95,69
2710,00;95,69
2709,00;95,70
2708,00;95,70
2707,00;95,70
2706,00;95,70
2705,00;95,71
2704,00;95,71
2703,00;95,71
2702,00;95,72
2701,00;95,72
2700,00;95,73
2699,00;95,73
2698,00;95,74
2697,00;95,74
2696,00;95,74
2695,00;95,74
2694,00;95,74
2693,00;95,74
2692,00;95,73
2691,00;95,73
2690,00;95,74
2689,00;95,74
2688,00;95,75
2687,00;95,75
2686,00;95,75
2685,00;95,75
2684,00;95,74
2683,00;95,73
2682,00;95,73
2681,00;95,72
2680,00;95,71
2679,00;95,70
2678,00;95,68
2677,00;95,67
2676,00;95,66
2675,00;95,66
2674,00;95,64
2673,00;95,63
2672,00;95,61
2671,00;95,59
2670,00;95,57
2669,00;95,56
2668,00;95,54
2667,00;95,53
2666,00;95,51
2665,00;95,50
2664,00;95,48
2663,00;95,46
2662,00;95,44
2661,00;95,43
2660,00;95,42
2659,00;95,41
2658,00;95,41
2657,00;95,40
2656,00;95,40
2655,00;95,40
2654,00;95,40
2653,00;95,41
2652,00;95,40
2651,00;95,40
2650,00;95,40
2649,00;95,40
2648,00;95,40
2647,00;95,41
2646,00;95,42
2645,00;95,42
2644,00;95,42
2643,00;95,42
2642,00;95,41
2641,00;95,41
2640,00;95,40
2639,00;95,40
2638,00;95,41
2637,00;95,42
2636,00;95,43
2635,00;95,45
2634,00;95,47
2633,00;95,50
2632,00;95,52
2631,00;95,55
2630,00;95,57
2629,00;95,59
2628,00;95,60
2627,00;95,62
2626,00;95,63
2625,00;95,65
2624,00;95,66
2623,00;95,68
2622,00;95,69
2621,00;95,71
2620,00;95,73
2619,00;95,75
2618,00;95,76
2617,00;95,77
2616,00;95,77
2615,00;95,78
2614,00;95,79
2613,00;95,79
2612,00;95,80
2611,00;95,80
2610,00;95,80
2609,00;95,79
2608,00;95,78
2607,00;95,78
2606,00;95,79
2605,00;95,79
2604,00;95,80
2603,00;95,80
2602,00;95,80
2601,00;95,81
2600,00;95,82
2599,00;95,83
2598,00;95,84
2597,00;95,85
2596,00;95,86
2595,00;95,87
2594,00;95,87
2593,00;95,88
2592,00;95,88
2591,00;95,88
2590,00;95,88
2589,00;95,88
2588,00;95,88
2587,00;95,89
2586,00;95,90
2585,00;95,91
2584,00;95,93
2583,00;95,93
2582,00;95,94
2581,00;95,95
2580,00;95,95
2579,00;95,96
2578,00;95,97
2577,00;95,98
2576,00;96,00
2575,00;96,01
2574,00;96,01
2573,00;96,02
2572,00;96,02
2571,00;96,03
2570,00;96,03
2569,00;96,03
2568,00;96,03
2567,00;96,03
2566,00;96,03
2565,00;96,03
2564,00;96,04
2563,00;96,04
2562,00;96,04
2561,00;96,04
2560,00;96,03
2559,00;96,03
2558,00;96,02
2557,00;96,02
2556,00;96,01
2555,00;96,01
2554,00;96,01
2553,00;96,02
2552,00;96,02
2551,00;96,03
2550,00;96,04
2549,00;96,05
2548,00;96,07
2547,00;96,08
2546,00;96,08
2545,00;96,08
2544,00;96,07
2543,00;96,07
2542,00;96,07
2541,00;96,07
2540,00;96,08
2539,00;96,08
2538,00;96,08
2537,00;96,09
2536,00;96,09
2535,00;96,11
2534,00;96,13
2533,00;96,15
2532,00;96,16
2531,00;96,16
2530,00;96,16
2529,00;96,17
2528,00;96,18
2527,00;96,20
2526,00;96,21
2525,00;96,22
2524,00;96,23
2523,00;96,24
2522,00;96,25
2521,00;96,26
2520,00;96,26
2519,00;96,26
2518,00;96,26
2517,00;96,26
2516,00;96,26
2515,00;96,27
2514,00;96,28
2513,00;96,28
2512,00;96,29
2511,00;96,29
2510,00;96,29
2509,00;96,30
2508,00;96,31
2507,00;96,32
2506,00;96,32
2505,00;96,31
2504,00;96,30
2503,00;96,29
2502,00;96,28
2501,00;96,29
2500,00;96,28
2499,00;96,28
2498,00;96,27
2497,00;96,27
2496,00;96,27
2495,00;96,26
2494,00;96,26
2493,00;96,26
2492,00;96,27
2491,00;96,28
2490,00;96,30
2489,00;96,32
2488,00;96,33
2487,00;96,34
2486,00;96,35
2485,00;96,35
2484,00;96,35
2483,00;96,36
2482,00;96,36
2481,00;96,35
2480,00;96,35
2479,00;96,34
2478,00;96,34
2477,00;96,34
2476,00;96,34
2475,00;96,35
2474,00;96,35
2473,00;96,36
2472,00;96,36
2471,00;96,37
2470,00;96,37
2469,00;96,36
2468,00;96,34
2467,00;96,33
2466,00;96,31
