C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/2
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/2	BE_Survey/2	CPS_Survey/2	Background_Survey/2
463.206	1023.48	56240	56240
463.706	1022.98	57195	57195
464.206	1022.48	56710	56710
464.706	1021.98	56965	56965
465.206	1021.48	56950	56950
465.706	1020.98	56425	56425
466.206	1020.48	56835	56835
466.706	1019.98	55955	55955
467.206	1019.48	57050	57050
467.706	1018.98	57425	57425
468.206	1018.48	57080	57080
468.706	1017.98	57345	57345
469.206	1017.48	57175	57175
469.706	1016.98	56900	56900
470.206	1016.48	57475	57475
470.706	1015.98	57235	57235
471.206	1015.48	56720	56720
471.706	1014.98	57110	57110
472.206	1014.48	57660	57660
472.706	1013.98	57285	57285
473.206	1013.48	56920	56920
473.706	1012.98	57160	57160
474.206	1012.48	56110	56110
474.706	1011.98	56985	56985
475.206	1011.48	56685	56685
475.706	1010.98	58030	58030
476.206	1010.48	57520	57520
476.706	1009.98	57335	57335
477.206	1009.48	56870	56870
477.706	1008.98	57260	57260
478.206	1008.48	57315	57315
478.706	1007.98	57920	57920
479.206	1007.48	58590	58590
479.706	1006.98	58220	58220
480.206	1006.48	58100	58100
480.706	1005.98	59500	59500
481.206	1005.48	59730	59730
481.706	1004.98	60255	60255
482.206	1004.48	59160	59160
482.706	1003.98	59960	59960
483.206	1003.48	61425	61425
483.706	1002.98	60850	60850
484.206	1002.48	61920	61920
484.706	1001.98	61335	61335
485.206	1001.48	62275	62275
485.706	1000.98	62415	62415
486.206	1000.48	62790	62790
486.706	999.984	62305	62305
487.206	999.484	62080	62080
487.706	998.984	62390	62390
488.206	998.484	61705	61705
488.706	997.984	61725	61725
489.206	997.484	61270	61270
489.706	996.984	61340	61340
490.206	996.484	60115	60115
490.706	995.984	60420	60420
491.206	995.484	60815	60815
491.706	994.984	60310	60310
492.206	994.484	59080	59080
492.706	993.984	58340	58340
493.206	993.484	59380	59380
493.706	992.984	58305	58305
494.206	992.484	58255	58255
494.706	991.984	58610	58610
495.206	991.484	57730	57730
495.706	990.984	57140	57140
496.206	990.484	56940	56940
496.706	989.984	56435	56435
497.206	989.484	56290	56290
497.706	988.984	56320	56320
498.206	988.484	55650	55650
498.706	987.984	56340	56340
499.206	987.484	56155	56155
499.706	986.984	55610	55610
500.206	986.484	56415	56415
500.706	985.984	55930	55930
501.206	985.484	56465	56465
501.706	984.984	56940	56940
502.206	984.484	57240	57240
502.706	983.984	57340	57340
503.206	983.484	58585	58585
503.706	982.984	58820	58820
504.206	982.484	59355	59355
504.706	981.984	59930	59930
505.206	981.484	62165	62165
505.706	980.984	62645	62645
506.206	980.484	62505	62505
506.706	979.984	64220	64220
507.206	979.484	66415	66415
507.706	978.984	66975	66975
508.206	978.484	66620	66620
508.706	977.984	66895	66895
509.206	977.484	68470	68470
509.706	976.984	69105	69105
510.206	976.484	67815	67815
510.706	975.984	68010	68010
511.206	975.484	67085	67085
511.706	974.984	66760	66760
512.206	974.484	65505	65505
