Created as New Dataset;Sample 1001 By Administrator Date fredag, september 22 2017
cm-1;%T
2910,00;83,74
2909,00;83,72
2908,00;83,71
2907,00;83,69
2906,00;83,68
2905,00;83,67
2904,00;83,66
2903,00;83,65
2902,00;83,64
2901,00;83,63
2900,00;83,62
2899,00;83,61
2898,00;83,60
2897,00;83,60
2896,00;83,59
2895,00;83,59
2894,00;83,58
2893,00;83,57
2892,00;83,56
2891,00;83,55
2890,00;83,54
2889,00;83,52
2888,00;83,51
2887,00;83,50
2886,00;83,50
2885,00;83,49
2884,00;83,49
2883,00;83,48
2882,00;83,47
2881,00;83,47
2880,00;83,46
2879,00;83,45
2878,00;83,45
2877,00;83,44
2876,00;83,44
2875,00;83,44
2874,00;83,44
2873,00;83,44
2872,00;83,44
2871,00;83,44
2870,00;83,43
2869,00;83,42
2868,00;83,41
2867,00;83,40
2866,00;83,40
2865,00;83,41
2864,00;83,43
2863,00;83,45
2862,00;83,48
2861,00;83,51
2860,00;83,55
2859,00;83,59
2858,00;83,63
2857,00;83,66
2856,00;83,68
2855,00;83,69
2854,00;83,70
2853,00;83,69
2852,00;83,68
2851,00;83,66
2850,00;83,64
2849,00;83,62
2848,00;83,60
2847,00;83,58
2846,00;83,56
2845,00;83,53
2844,00;83,51
2843,00;83,49
2842,00;83,47
2841,00;83,46
2840,00;83,46
2839,00;83,45
2838,00;83,44
2837,00;83,43
2836,00;83,42
2835,00;83,41
2834,00;83,39
2833,00;83,39
2832,00;83,38
2831,00;83,38
2830,00;83,37
2829,00;83,37
2828,00;83,37
2827,00;83,37
2826,00;83,36
2825,00;83,36
2824,00;83,36
2823,00;83,35
2822,00;83,35
2821,00;83,34
2820,00;83,33
2819,00;83,33
2818,00;83,32
2817,00;83,32
2816,00;83,32
2815,00;83,31
2814,00;83,31
2813,00;83,31
2812,00;83,31
2811,00;83,31
2810,00;83,31
2809,00;83,31
2808,00;83,31
2807,00;83,31
2806,00;83,30
2805,00;83,30
2804,00;83,29
2803,00;83,29
2802,00;83,29
2801,00;83,29
2800,00;83,29
2799,00;83,30
2798,00;83,29
2797,00;83,29
2796,00;83,28
2795,00;83,27
2794,00;83,27
2793,00;83,26
2792,00;83,26
2791,00;83,26
2790,00;83,26
2789,00;83,25
2788,00;83,25
2787,00;83,25
2786,00;83,25
2785,00;83,25
2784,00;83,25
2783,00;83,24
2782,00;83,24
2781,00;83,23
2780,00;83,23
2779,00;83,22
2778,00;83,22
2777,00;83,22
2776,00;83,22
2775,00;83,23
2774,00;83,23
2773,00;83,23
2772,00;83,22
2771,00;83,22
2770,00;83,21
2769,00;83,21
2768,00;83,21
2767,00;83,21
2766,00;83,21
2765,00;83,21
2764,00;83,20
2763,00;83,20
2762,00;83,19
2761,00;83,19
2760,00;83,19
2759,00;83,19
2758,00;83,19
2757,00;83,19
2756,00;83,19
2755,00;83,19
2754,00;83,19
2753,00;83,18
2752,00;83,18
2751,00;83,18
2750,00;83,17
2749,00;83,18
2748,00;83,18
2747,00;83,17
2746,00;83,17
2745,00;83,16
2744,00;83,16
2743,00;83,16
2742,00;83,16
2741,00;83,16
2740,00;83,15
2739,00;83,15
2738,00;83,15
2737,00;83,15
2736,00;83,15
2735,00;83,15
2734,00;83,14
2733,00;83,14
2732,00;83,13
2731,00;83,13
2730,00;83,13
2729,00;83,14
2728,00;83,14
2727,00;83,14
2726,00;83,14
2725,00;83,13
2724,00;83,13
2723,00;83,13
2722,00;83,13
2721,00;83,13
2720,00;83,12
2719,00;83,12
2718,00;83,12
2717,00;83,12
2716,00;83,12
2715,00;83,12
2714,00;83,12
2713,00;83,11
2712,00;83,11
2711,00;83,10
2710,00;83,10
2709,00;83,09
2708,00;83,09
2707,00;83,09
2706,00;83,09
2705,00;83,09
2704,00;83,09
2703,00;83,09
2702,00;83,09
2701,00;83,09
2700,00;83,09
2699,00;83,09
2698,00;83,08
2697,00;83,08
2696,00;83,08
2695,00;83,08
2694,00;83,08
2693,00;83,07
2692,00;83,07
2691,00;83,07
2690,00;83,06
2689,00;83,06
2688,00;83,06
2687,00;83,06
2686,00;83,06
2685,00;83,06
2684,00;83,05
2683,00;83,05
2682,00;83,05
2681,00;83,05
2680,00;83,05
2679,00;83,05
2678,00;83,05
2677,00;83,05
2676,00;83,05
2675,00;83,04
2674,00;83,04
2673,00;83,04
2672,00;83,03
2671,00;83,03
2670,00;83,03
2669,00;83,02
2668,00;83,02
2667,00;83,02
2666,00;83,01
2665,00;83,00
2664,00;82,99
2663,00;82,97
2662,00;82,96
2661,00;82,94
2660,00;82,93
2659,00;82,92
2658,00;82,91
2657,00;82,90
2656,00;82,90
2655,00;82,89
2654,00;82,89
2653,00;82,89
2652,00;82,89
2651,00;82,89
2650,00;82,89
2649,00;82,89
2648,00;82,89
2647,00;82,90
2646,00;82,90
2645,00;82,91
2644,00;82,91
2643,00;82,91
2642,00;82,91
2641,00;82,92
2640,00;82,92
2639,00;82,93
2638,00;82,93
2637,00;82,93
2636,00;82,94
2635,00;82,94
2634,00;82,94
2633,00;82,94
2632,00;82,94
2631,00;82,95
2630,00;82,95
2629,00;82,95
2628,00;82,96
2627,00;82,97
2626,00;82,98
2625,00;82,98
2624,00;82,98
2623,00;82,99
2622,00;82,99
2621,00;82,99
2620,00;83,00
2619,00;83,00
2618,00;83,00
2617,00;83,00
2616,00;83,01
2615,00;83,01
2614,00;83,01
2613,00;83,02
2612,00;83,03
2611,00;83,03
2610,00;83,04
2609,00;83,04
2608,00;83,04
