C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/18
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/18	BE_C 1s/18	CPS_C 1s/18	C=C (sp2)_1_C 1s/18	C-O/C-N_2_C 1s/18	C=O_3_C 1s/18	p-p* (SUS)_4_C 1s/18	C-C (sp3)_5_C 1s/18	Background_C 1s/18	Envelope_C 1s/18
1199.56	287.134	3081	1711.63	2367.65	1224.77	1126.64	1126.63	1126.63	3050.81
1199.66	287.034	3251	1751.67	2512.83	1204.23	1123.63	1123.63	1123.62	3221.5
1199.76	286.934	3388	1796.75	2632.64	1186.04	1120.42	1120.45	1120.42	3374.63
1199.86	286.834	3470	1847.88	2716.51	1170.02	1117.1	1117.22	1117.09	3500.35
1199.96	286.734	3516	1906.07	2756.05	1156.01	1113.7	1114.12	1113.7	3591.16
1200.06	286.634	3652	1972.5	2745.81	1143.63	1110.11	1111.42	1110.11	3643.04
1200.16	286.534	3651	2048.85	2687.87	1132.83	1106.51	1110.22	1106.51	3660.25
1200.26	286.434	3639	2136.97	2587.57	1123.42	1102.93	1112.51	1102.93	3651.7
1200.36	286.334	3654	2239.13	2453.73	1115.13	1099.32	1121.95	1099.32	3631.99
1200.46	286.234	3628	2358.06	2297.14	1107.84	1095.74	1144.44	1095.74	3620.27
1200.56	286.134	3748	2497.22	2129.87	1101.16	1091.98	1187.33	1091.98	3639.63
1200.66	286.034	3694	2660.91	1962.55	1095.21	1088.3	1256.48	1088.3	3710.25
1200.76	285.934	3849	2854.94	1803.17	1089.54	1084.39	1349.15	1084.39	3843.62
1200.86	285.834	4020	3086.36	1657.87	1084.05	1080.24	1447.42	1080.24	4034.97
1200.96	285.734	4237	3366.35	1530.1	1078.57	1075.77	1517.93	1075.77	4265.62
1201.06	285.634	4523	3710.3	1420.78	1072.93	1070.89	1528.62	1070.89	4519.94
1201.16	285.534	4750	4143.63	1329.67	1067.16	1065.69	1472.1	1065.69	4815.5
1201.26	285.434	5260	4704.77	1255.06	1060.8	1059.75	1371.3	1059.75	5212.68
1201.36	285.334	5912	5454.74	1194.87	1053.63	1052.88	1261.96	1052.88	5806.55
1201.46	285.234	6833	6485.71	1146	1045.23	1044.7	1169.2	1044.7	6712.02
1201.56	285.134	8010	7922.34	1105.76	1035.22	1034.85	1101.44	1034.85	8060.21
1201.66	285.034	9802	9916.14	1071.16	1022.69	1022.44	1054.72	1022.44	9997.39
1201.76	284.934	12196	12574.1	1039.61	1006.8	1006.63	1020.86	1006.63	12621.4
1201.86	284.834	15325	15872.5	1008.29	986.483	986.364	992.084	986.364	15900.3
1201.96	284.734	19395	19484.5	974.627	960.393	960.312	962.424	960.312	19501
1202.06	284.634	23329	22721.1	937.829	928.71	928.656	929.369	928.656	22731
1202.16	284.534	25341	24623.8	899.897	894.144	894.108	894.328	894.108	24629.8
1202.26	284.434	24564	24284.5	864.207	860.634	860.611	860.673	860.611	24288.2
1202.36	284.334	21153	21594.4	834.085	831.908	831.893	831.909	831.893	21596.6
1202.46	284.234	16410	17351	811.159	809.857	809.847	809.851	809.847	17352.3
1202.56	284.134	12365	12685.6	794.266	793.501	793.494	793.495	793.494	12686.3
1202.66	284.034	8877	8532.74	782.502	782.059	782.055	782.055	782.055	8533.19
1202.76	283.934	6143	5379.24	774.723	774.47	774.468	774.468	774.468	5379.5
1202.86	283.834	3997	3269.22	770.05	769.909	769.907	769.907	769.907	3269.36
1202.96	283.734	2589	2015.7	767.411	767.334	767.333	767.333	767.333	2015.78
1203.06	283.634	1782	1338.01	765.939	765.898	765.897	765.897	765.897	1338.05
1203.16	283.534	1226	1008.01	765.268	765.246	765.246	765.246	765.246	1008.03
1203.26	283.434	927	859.794	765.029	765.017	765.017	765.017	765.017	859.806
1203.36	283.334	753	799.308	765.006	765	765	765	765	799.314
1203.46	283.234	615	626.461	615.003	615	615	615	615	626.464
1203.56	283.134	501	504.544	501.002	501	501	501	501	504.545
1203.66	283.034	444	445.015	444.001	444	444	444	444	445.016
1203.76	282.934	386	386.268	386	386	386	386	386	386.268
1203.86	282.834	374	374.066	374	374	374	374	374	374.066
1203.96	282.734	358	358.015	358	358	358	358	358	358.015
1204.06	282.634	320	320.003	320	320	320	320	320	320.003
1204.16	282.534	287	287.001	287	287	287	287	287	287.001
1204.26	282.434	278	278	278	278	278	278	278	278
1204.36	282.334	257	257	257	257	257	257	257	257
1204.46	282.234	264	264	264	264	264	264	264	264
1204.56	282.134	283	283	283	283	283	283	283	283
1204.66	282.034	268	268	268	268	268	268	268	268
1204.76	281.934	244	244	244	244	244	244	244	244
1204.86	281.834	260	260	260	260	260	260	260	260
1204.96	281.734	243	243	243	243	243	243	243	243
1205.06	281.634	230	230	230	230	230	230	230	230
1205.16	281.534	234	234	234	234	234	234	234	234
1205.26	281.434	209	209	209	209	209	209	209	209
1205.36	281.334	243	243	243	243	243	243	243	243
1205.46	281.234	209	209	209	209	209	209	209	209
1205.56	281.134	221	221	221	221	221	221	221	221
1205.66	281.034	198	198	198	198	198	198	198	198
1205.76	280.934	193	193	193	193	193	193	193	193
1205.86	280.834	197	197	197	197	197	197	197	197
1205.96	280.734	189	189	189	189	189	189	189	189
1206.06	280.634	173	173	173	173	173	173	173	173
1206.16	280.534	196	196	196	196	196	196	196	196
1206.26	280.434	214	214	214	214	214	214	214	214
1206.36	280.334	203	203	203	203	203	203	203	203
1206.46	280.234	193	193	193	193	193	193	193	193
1206.56	280.134	166	166	166	166	166	166	166	166
1206.66	280.034	192	192	192	192	192	192	192	192
1206.76	279.934	194	194	194	194	194	194	194	194
1206.86	279.834	178	178	178	178	178	178	178	178
1206.96	279.734	187	187	187	187	187	187	187	187
1207.06	279.634	174	174	174	174	174	174	174	174
1207.16	279.534	196	196	196	196	196	196	196	196
1207.26	279.434	187	187	187	187	187	187	187	187
1207.36	279.334	190	190	190	190	190	190	190	190
1207.46	279.234	181	181	181	181	181	181	181	181
1207.56	279.134	189	189	189	189	189	189	189	189
1207.66	279.034	191	191	191	191	191	191	191	191
1207.76	278.934	166	166	166	166	166	166	166	166
1207.86	278.834	177	177	177	177	177	177	177	177
1207.96	278.734	151	151	151	151	151	151	151	151
1208.06	278.634	193	193	193	193	193	193	193	193
1208.16	278.534	199	199	199	199	199	199	199	199
1208.26	278.434	172	172	172	172	172	172	172	172
1208.36	278.334	172	172	172	172	172	172	172	172
1208.46	278.234	173	173	173	173	173	173	173	173
1208.56	278.134	175	175	175	175	175	175	175	175
1208.66	278.034	173	173	173	173	173	173	173	173
1208.76	277.934	181	181	181	181	181	181	181	181
1208.86	277.834	164	164	164	164	164	164	164	164
1208.96	277.734	180	180	180	180	180	180	180	180
1209.06	277.634	179	179	179	179	179	179	179	179
1209.16	277.534	179	179	179	179	179	179	179	179
1209.26	277.434	164	164	164	164	164	164	164	164
1209.36	277.334	181	181	181	181	181	181	181	181
1209.46	277.234	199	199	199	199	199	199	199	199
1209.56	277.134	139	139	139	139	139	139	139	139
1209.66	277.034	176	176	176	176	176	176	176	176
1209.76	276.934	175	175	175	175	175	175	175	175
1209.86	276.834	164	164	164	164	164	164	164	164
1209.96	276.734	157	157	157	157	157	157	157	157
1210.06	276.634	169	169	169	169	169	169	169	169
1210.16	276.534	167	167	167	167	167	167	167	167
1210.26	276.434	166	166	166	166	166	166	166	166
1210.36	276.334	194	194	194	194	194	194	194	194
1210.46	276.234	177	177	177	177	177	177	177	177
1210.56	276.134	157	157	157	157	157	157	157	157
1210.66	276.034	169	169	169	169	169	169	169	169
1210.76	275.934	167	167	167	167	167	167	167	167
1210.86	275.834	181	181	181	181	181	181	181	181
1210.96	275.734	158	158	158	158	158	158	158	158
1211.06	275.634	177	177	177	177	177	177	177	177
1211.16	275.534	173	173	173	173	173	173	173	173
1211.26	275.434	183	183	183	183	183	183	183	183
1211.36	275.334	152	152	152	152	152	152	152	152
1211.46	275.234	156	156	156	156	156	156	156	156
1211.56	275.134	179	179	179	179	179	179	179	179
1211.66	275.034	177	177	177	177	177	177	177	177
1211.76	274.934	169	169	169	169	169	169	169	169
1211.86	274.834	170	170	170	170	170	170	170	170
1211.96	274.734	151	151	151	151	151	151	151	151
1212.06	274.634	175	175	175	175	175	175	175	175
1212.16	274.534	173	173	173	173	173	173	173	173
1212.26	274.434	179	179	179	179	179	179	179	179
1212.36	274.334	158	158	158	158	158	158	158	158
